row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,230823_NEG_B0.mzML Peak area,230809_NEG_B0.mzML Peak area,230809_NEG_B4.mzML Peak area,230809_NEG_B6.mzML Peak area,230809_NEG_B2.mzML Peak area,230809_NEG_B3.mzML Peak area,230809_NEG_B5.mzML Peak area,230809_NEG_B1.mzML Peak area,230905_NEG_B0.mzML Peak area,230905_NEG_B1.mzML Peak area,230823_NEG_B6.mzML Peak area,230823_NEG_B4.mzML Peak area,230823_NEG_B1.mzML Peak area,230823_NEG_B3.mzML Peak area,230823_NEG_B2.mzML Peak area,230905_NEG_B2.mzML Peak area,230905_NEG_B3.mzML Peak area,230926_NEG_B0.mzML Peak area,230926_NEG_B2.mzML Peak area,230905_NEG_B5.mzML Peak area,230905_NEG_B4.mzML Peak area,230905_NEG_B6.mzML Peak area,230926_NEG_B5.mzML Peak area,230926_NEG_B1.mzML Peak area,230823_NEG_B5.mzML Peak area,231010_NEG_B0.mzML Peak area,231010_NEG_B3.mzML Peak area,230926_NEG_B6.mzML Peak area,230926_NEG_B4.mzML Peak area,231010_NEG_B1.mzML Peak area,231010_NEG_B2.mzML Peak area,240901_NEG_B1.mzML Peak area,Blank_NEG_1.mzML Peak area,231010_NEG_B6.mzML Peak area,Blank_NEG_2.mzML Peak area,230926_NEG_B3.mzML Peak area,Blank_NEG_3.mzML Peak area,Blank_NEG_4.mzML Peak area,Culture_Remin_E_NEG.mzML Peak area,240417_NEG_B0.mzML Peak area,231010_NEG_B5.mzML Peak area,Culture_Remin_D_NEG.mzML Peak area,240507_NEG_B0.mzML Peak area,240417_NEG_B3.mzML Peak area,Culture_Remin_F_NEG.mzML Peak area,231010_NEG_B4.mzML Peak area,240417_NEG_B2.mzML Peak area,240417_NEG_B4.mzML Peak area,QC_mix_NEG_1.mzML Peak area,QC_mix_NEG_2.mzML Peak area,QC_mix_NEG_4.mzML Peak area,240417_NEG_B5.mzML Peak area,Process_Blank_1_NEG.mzML Peak area,QC_mix_NEG_3.mzML Peak area,240616_NEG_B0.mzML Peak area,Process_Blank_3_NEG.mzML Peak area,Process_Blank_2_NEG.mzML Peak area,240507_NEG_B3.mzML Peak area,240417_NEG_B6.mzML Peak area,240417_NEG_B1.mzML Peak area,240507_NEG_B1.mzML Peak area,240616_NEG_B3.mzML Peak area,240507_NEG_B5.mzML Peak area,240616_NEG_B2.mzML Peak area,240616_NEG_B1.mzML Peak area,Chance_pooled_QC_NEG_1.mzML Peak area,240616_NEG_B5.mzML Peak area,240616_NEG_B6.mzML Peak area,240616_NEG_B4.mzML Peak area,Chance_pooled_QC_NEG_3.mzML Peak area,Chance_pooled_QC_NEG_2.mzML Peak area,Chance_pooled_QC_NEG_4.mzML Peak area
3,272.9600728,0.53237665,,,,,,,,,,,413290.6,571954.4,1204656.4,692562.4,594351.06,715952.6,691749.6,158440.58,1146146.6,212178.31,52700.598,304806.44,506381.88,456539.4,349919.4,517150.25,482489.97,640941.3,285740.22,278568.1,178662.6,180495.02,210004.72,514891.53,149030.14,263675.72,427793.3,101918.3,150375.25,87979.6,264302.16,0,0,116944.83,0,332356.16,0,0,120362.04,62161.53,458589.84,142072.02,480845.3,662661.94,79635.38,733451,750876.7,360314.94,37160.062,38952.305,104909.47,486657.03,2404.3965,32711.082,208258.25,0,3398.6694,280807.22,1142950,234032.72,371015.12,263751.6,666863.75,364581.94,360286.34,186317.92,294823.78,322149.84,591209.5,510390.97,346481.3,404952.4
4,408.9351409,0.5323918,,,,,,,,,,,177691.56,215151.6,335391.06,250035.67,189931.86,249344.36,259109.88,78052.84,353305.62,76266.19,22749.957,123727.734,158415.9,142635.28,151607.56,142790.16,178813.48,278461.28,113465.18,95211.7,66232.75,75775.78,94230.08,141753.02,68399.13,104458.57,180295.47,36947.445,54882.766,36425.91,108752.875,0,0,56174.414,0,124728.58,0,0,57483.266,28563.895,179247.23,59613.887,187641.14,205021.94,22246.498,287333.1,263226.44,135854.92,10277.66,7928.105,32228.055,160997.27,0,10480.956,101176.96,0,0,111891.22,382695.4,98136.164,148012.25,124761.68,243423.72,148108.4,148001.52,69068.164,127398.54,154773.06,237610.7,210472.6,145993.3,170778
7,190.9290791,0.53340805,,,,,,,,,,,9656.161,0,8658.009,2298.5862,5733.3213,17998.057,4232.9263,14966.817,2574.5212,2982.7725,6511.379,203080.66,18820.096,6388.625,8291.812,10278.63,5648.1714,4768.712,2931.8145,21440.273,9936.324,4882.205,2813.6677,13677.487,13519.261,5834.044,2806.5935,5483.409,10933.225,21185.822,3081.0864,86758.02,86122.805,5413.359,56967.13,3405.5413,110759.02,89944.03,2256.021,12060.4,3525.4072,2838.6277,2608.0088,2434.37,2764.8145,5908.9365,7436.9443,2243.1792,63746.15,2691.7673,2520.8652,0,5152.319,19157.121,3154.8425,10240.544,13663.275,2369.315,0,2314.1287,0,4425.674,2216.996,5302.552,2834.3486,31718.102,2586.1887,5754.9414,5288.4873,7261.2656,7032.059,6480.21
9,476.9230585,0.53252816,,,,,,,,,,,160516.28,183808.36,262444,207311.56,143286.9,181234.88,202040.64,66777.3,257494.94,64685.04,20575.645,119019.82,133310.78,113484.7,129027.31,112955.02,140973.52,208707.2,90026.31,76733.23,50203.688,75061.57,70121.34,94333.516,63623.523,84186.66,144866.92,35405.84,57529.836,28248.828,84224.7,0,0,42733.605,0,129548.01,0,0,55891.54,24973.736,157049.67,72655.64,152361.9,174246.39,29486.336,224203.62,198730.02,114953.48,6267.6743,6561.714,21862.031,126537.61,0,3523.5188,104426.97,0,0,98901.92,303053.9,96821.734,136676.73,109081.71,194814.6,149114.25,140956.6,72521.72,126583.05,131674.5,200340.45,174666.47,120707.734,149528.19
11,304.9100568,0.5324928,,,,,,,,,,,5642.3115,0,17304.889,5166.5625,5847.95,13046.374,4093.6196,2200.317,7829.6494,0,0,72680.266,17517.197,10512.2705,4761.6123,7970.483,4270.3726,0,2242.0752,4738.166,0,0,0,13123.25,2633.5425,3662.1216,0,0,2637.0522,0,2833.6094,0,0,0,0,4138.703,0,0,0,2377.2866,3096.9414,0,2183.8735,3503.7197,0,6555.0576,16185.481,0,8553.189,0,2227.4158,6489.285,0,0,0,0,0,2202.6963,2395.1995,0,0,2891.2957,7842.377,3656.5833,0,2675.4995,2705.892,2891.776,5474.799,9588.328,4026.4653,3944.0708
13,307.9082695,0.53257805,,,,,,,,,,,0,0,3382.955,2969.051,0,0,0,0,2365.8193,0,0,0,3424.7275,0,0,0,0,0,0,0,3336.1948,0,0,0,0,0,3832.6816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3231.3062,0,0,4721.98,0,47448,44171.777,110841.375,3084.0496,0,45330.516,0,0,0,0,0,0,0,0,10359.804,0,2796.3184,0,0,0,0,0,0,0
15,329.902853,0.53752154,,,,,,,,,,,0,0,2223.0254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6458.868,0,0,0,0,2300.8467,6248.0054,0,0,0,0,12735.319,2396.0957,0,2291.271,0,4809.372,19499.924,0,0,0,2917.6694,0,0,2818.4268,0,0,0,112797.766,107406.82,175169.84,0,0,115446.38,0,5568.218,10001.182,0,0,0,0,4649.252,3382.0125,0,14673.167,0,0,0,0,0,0,0
19,158.9791784,0.5327363,,,,,,,,,,,1416884.4,1649119.1,1649331.8,1359655.9,1194944.5,1463483.9,1586386,939274.06,1791172.5,793532.56,506465.1,969501.44,1076482.2,1073121.5,1106918.2,937291.6,1176381.1,1726892.6,1036654.25,840561.94,715769.7,968960.25,921167.44,958638.1,836249.06,885388.2,1261511.8,643260.3,812408.9,538067.06,841842.4,46553.77,14417.89,731808.1,14861.374,1088775.2,7992.556,32884.953,637787.2,499179.62,1211069.9,657034.5,1140896.2,1269537.8,527946.25,1371970.8,1364815.1,1115553.1,197155.64,196987.44,344850.56,925848.9,171745.94,193645.2,1094151.9,88016.72,174197.56,838700.75,1872723.1,1045136.9,1255614.4,1033038.56,1259968.1,1318314.5,1295023.8,999648.44,1261533.2,1300717.2,1495840.5,1249055.4,1144718.6,1209028
25,226.9668317,0.5335614,,,,,,,,,,,885329.1,933800.06,884457,811749.6,676884.4,827405.75,895299.3,634843,956971.2,461788.53,316927.53,526940.7,607709.9,618384.94,652875.6,503894.16,686619.94,1026307.7,627871.8,480850.75,403066.25,582292.1,579148.9,517006.8,529223.5,522404.56,715881.5,404023.6,505725.53,335978.6,486388.5,18639.316,0,457843.8,2683.9404,647574.94,0,11602.251,409238.44,311419.8,692343.56,416048.28,682881.1,770619,365737.12,720320,765104.44,689340.06,89958.11,85836.805,153974.52,508855.72,103687.695,88375.68,687245.75,54612.9,116106.48,492403.8,1106435,661299.75,750453.4,689719.94,711236.5,832071.9,848258.5,609979.4,823896.9,844941.8,889453.3,725864.44,633390.7,751257.5
28,294.9545043,0.53536904,,,,,,,,,,,874776.94,888196.6,798284.2,745920.75,670249.75,773343.3,885713.8,676713.4,895839.8,457317.78,323853.75,548255.2,580659.75,582560.75,638712.5,418509.38,644132.6,1016030,593211.9,471360.12,390479.16,555522.9,585110.6,487244.84,515759.25,505152.2,693190.6,431226.8,498881.4,307354.88,457438.22,14350.805,0,456018.1,2430.289,647206.25,0,15010.211,407749.3,301777.9,636683.25,437916.06,668376.75,734100.94,353084.84,645680.06,716018.9,659923.25,70830.59,65328.4,117233.016,493967.44,140687.05,59839.254,698739.1,60825.168,120029.61,463566.22,1066908.6,645904.1,734244.9,707223.56,677434.4,832545,850953.56,599147.8,846513,904315.44,915070.8,741741.4,656123.4,769156.56
