filename,ATTRIBUTE_sample_type,ATTRIBUTE_LC_vial_name,ATTRIBUTE_source,ATTRIBUTE_phys_state,ATTRIBUTE_sample_date,ATTRIBUTE_season,ATTRIBUTE_treatment,ATTRIBUTE_blade,ATTRIBUTE_age_d,ATTRIBUTE_tissue_CN,ATTRIBUTE_DOC_prePPL_uMC
230809_NEG_B0.mzML,Sample,230809 B0,Ambient,Mature,8/9/23,Summer,Control,0,16,NA,61.4
230809_NEG_B1.mzML,Sample,230809 B1,Kelp,Mature,8/9/23,Summer,Exudate,1,16,31,65
230809_NEG_B2.mzML,Sample,230809 B2,Kelp,Mature,8/9/23,Summer,Exudate,2,16,31.6,63.3
230809_NEG_B3.mzML,Sample,230809 B3,Kelp,Mature,8/9/23,Summer,Exudate,3,16,34.8,63.8
230809_NEG_B4.mzML,Sample,230809 B4,Kelp,Mature,8/9/23,Summer,Exudate,4,16,27.9,72.3
230809_NEG_B5.mzML,Sample,230809 B5,Kelp,Mature,8/9/23,Summer,Exudate,5,16,29.3,71
230809_NEG_B6.mzML,Sample,230809 B6,Kelp,Mature,8/9/23,Summer,Exudate,6,16,25.1,79.6
230823_NEG_B0.mzML,Sample,230823 B0,Ambient,Mature,8/23/23,Summer,Control,0,30,NA,60.3
230823_NEG_B1.mzML,Sample,230823 B1,Kelp,Mature,8/23/23,Summer,Exudate,1,30,29.1,66.8
230823_NEG_B2.mzML,Sample,230823 B2,Kelp,Mature,8/23/23,Summer,Exudate,2,30,28.6,90.4
230823_NEG_B3.mzML,Sample,230823 B3,Kelp,Mature,8/23/23,Summer,Exudate,3,30,32.1,74
230823_NEG_B4.mzML,Sample,230823 B4,Kelp,Mature,8/23/23,Summer,Exudate,4,30,28.1,63.9
230823_NEG_B5.mzML,Sample,230823 B5,Kelp,Mature,8/23/23,Summer,Exudate,5,30,31.6,63.2
230823_NEG_B6.mzML,Sample,230823 B6,Kelp,Mature,8/23/23,Summer,Exudate,6,30,30.2,64.6
230905_NEG_B0.mzML,Sample,230905 B0,Ambient,Mature,9/5/23,Summer,Control,0,43,NA,59.3
230905_NEG_B1.mzML,Sample,230905 B1,Kelp,Mature,9/5/23,Summer,Exudate,1,43,32.6,64.2
230905_NEG_B2.mzML,Sample,230905 B2,Kelp,Mature,9/5/23,Summer,Exudate,2,43,33.8,66
230905_NEG_B3.mzML,Sample,230905 B3,Kelp,Mature,9/5/23,Summer,Exudate,3,43,24.9,65.6
230905_NEG_B4.mzML,Sample,230905 B4,Kelp,Mature,9/5/23,Summer,Exudate,4,43,33.2,66.9
230905_NEG_B5.mzML,Sample,230905 B5,Kelp,Mature,9/5/23,Summer,Exudate,5,43,29.7,62.1
230905_NEG_B6.mzML,Sample,230905 B6,Kelp,Mature,9/5/23,Summer,Exudate,6,43,20.4,72.3
230926_NEG_B0.mzML,Sample,230926 B0,Ambient,Senescent,9/26/23,Summer,Control,0,64,NA,56.1
230926_NEG_B1.mzML,Sample,230926 B1,Kelp,Senescent,9/26/23,Summer,Exudate,1,64,33.7,74.5
230926_NEG_B2.mzML,Sample,230926 B2,Kelp,Senescent,9/26/23,Summer,Exudate,2,64,34.8,71.2
230926_NEG_B3.mzML,Sample,230926 B3,Kelp,Senescent,9/26/23,Summer,Exudate,3,64,39.8,148.4
230926_NEG_B4.mzML,Sample,230926 B4,Kelp,Senescent,9/26/23,Summer,Exudate,4,64,35.9,132.3
230926_NEG_B5.mzML,Sample,230926 B5,Kelp,Senescent,9/26/23,Summer,Exudate,5,64,33,64.5
230926_NEG_B6.mzML,Sample,230926 B6,Kelp,Senescent,9/26/23,Summer,Exudate,6,64,31.6,74
231010_NEG_B0.mzML,Sample,231010 B0,Ambient,Senescent,10/10/23,Summer,Control,0,78,NA,60.6
231010_NEG_B1.mzML,Sample,231010 B1,Kelp,Senescent,10/10/23,Summer,Exudate,1,78,34.4,73.3
231010_NEG_B2.mzML,Sample,231010 B2,Kelp,Senescent,10/10/23,Summer,Exudate,2,78,37.1,90.4
231010_NEG_B3.mzML,Sample,231010 B3,Kelp,Senescent,10/10/23,Summer,Exudate,3,78,38.8,146.5
231010_NEG_B4.mzML,Sample,231010 B4,Kelp,Senescent,10/10/23,Summer,Exudate,4,78,34.4,138.6
231010_NEG_B5.mzML,Sample,231010 B5,Kelp,Senescent,10/10/23,Summer,Exudate,5,78,35.5,115.2
231010_NEG_B6.mzML,Sample,231010 B6,Kelp,Senescent,10/10/23,Summer,Exudate,6,78,35.9,102.8
240417_NEG_B0.mzML,Sample,240417 B0,Ambient,Mature,4/17/24,Spring,Control,0,16,NA,56.1
240417_NEG_B1.mzML,Sample,240417 B1,Kelp,Mature,4/17/24,Spring,Exudate,1,16,10.8,66.8
240417_NEG_B2.mzML,Sample,240417 B2,Kelp,Mature,4/17/24,Spring,Exudate,2,16,9.3,71.2
240417_NEG_B3.mzML,Sample,240417 B3,Kelp,Mature,4/17/24,Spring,Exudate,3,16,10.1,67
240417_NEG_B4.mzML,Sample,240417 B4,Kelp,Mature,4/17/24,Spring,Exudate,4,16,9.1,72.3
240417_NEG_B5.mzML,Sample,240417 B5,Kelp,Mature,4/17/24,Spring,Exudate,5,16,9.8,70.6
240417_NEG_B6.mzML,Sample,240417 B6,Kelp,Mature,4/17/24,Spring,Exudate,6,16,9.6,69.1
240507_NEG_B0.mzML,Sample,240507 B0,Ambient,Mature,5/7/24,Spring,Control,0,37,NA,53.6
240507_NEG_B1.mzML,Sample,240507 B1,Kelp,Mature,5/7/24,Spring,Exudate,1,37,10.7,62
240507_NEG_B3.mzML,Sample,240507 B3,Kelp,Mature,5/7/24,Spring,Exudate,3,37,9.6,63.8
240507_NEG_B5.mzML,Sample,240507 B5,Kelp,Mature,5/7/24,Spring,Exudate,5,37,10.1,69.9
240616_NEG_B0.mzML,Sample,240616 B0,Ambient,Senescent,6/16/24,Spring,Control,0,77,NA,59
240616_NEG_B1.mzML,Sample,240616 B1,Kelp,Senescent,6/16/24,Spring,Exudate,1,77,18.3,84.6
240616_NEG_B2.mzML,Sample,240616 B2,Kelp,Senescent,6/16/24,Spring,Exudate,2,77,14.6,88.7
240616_NEG_B3.mzML,Sample,240616 B3,Kelp,Senescent,6/16/24,Spring,Exudate,3,77,11.6,63.8
240616_NEG_B4.mzML,Sample,240616 B4,Kelp,Senescent,6/16/24,Spring,Exudate,4,77,10.8,65.8
240616_NEG_B5.mzML,Sample,240616 B5,Kelp,Senescent,6/16/24,Spring,Exudate,5,77,17.4,70.4
240616_NEG_B6.mzML,Sample,240616 B6,Kelp,Senescent,6/16/24,Spring,Exudate,6,77,18.8,72.8
240901_NEG_B1.mzML,Sample,Sample,Kelp,Mature,9/1/24,September,Exudate,NA,NA,NA,NA
Blank_NEG_1.mzML,Blank,Analytical Blank,Blank,NA,9/1/24,Blank,Blank,NA,NA,NA,NA
Blank_NEG_2.mzML,Blank,Analytical Blank,Blank,NA,9/1/24,Blank,Blank,NA,NA,NA,NA
Blank_NEG_3.mzML,Blank,Analytical Blank,Blank,NA,9/1/24,Blank,Blank,NA,NA,NA,NA
Blank_NEG_4.mzML,Blank,Analytical Blank,Blank,NA,9/1/24,Blank,Blank,NA,NA,NA,NA
Chance_pooled_QC_NEG_1.mzML,Sample,QC Pooled,QC Pooled,NA,9/1/24,QC Pooled,Pooled,NA,NA,NA,NA
Chance_pooled_QC_NEG_2.mzML,Sample,QC Pooled,QC Pooled,NA,9/1/24,QC Pooled,Pooled,NA,NA,NA,NA
Chance_pooled_QC_NEG_3.mzML,Sample,QC Pooled,QC Pooled,NA,9/1/24,QC Pooled,Pooled,NA,NA,NA,NA
Chance_pooled_QC_NEG_4.mzML,Sample,QC Pooled,QC Pooled,NA,9/1/24,QC Pooled,Pooled,NA,NA,NA,NA
Culture_Remin_D_NEG.mzML,Sample,Culture,Culture,NA,9/1/24,Culture,Culture,NA,NA,NA,NA
Culture_Remin_E_NEG.mzML,Sample,Culture,Culture,NA,9/1/24,Culture,Culture,NA,NA,NA,NA
