formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
1,C2H2N4O12,[M - H]-,C2HN4O12-,Alkaloids,0.18,Fatty Acids and Conjugates,0.102,Aminoacids,0.023,"Organic 1,3-dipolar compounds",0.959,"Allyl-type 1,3-dipolar organic compounds",0.864,Organic nitro compounds,0.888,C-nitro compounds,0.663,C-nitro compounds,0.663,"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Organic oxoazanium compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",272.96,32,0.533,7.35173E+17,7.35171E+17,3,
1,C8H9Cl3N4O9,[M - H]-,C8H8Cl3N4O9-,Alkaloids,0.505,Proline alkaloids,0.088,Pyrrole alkaloids,0.088,Organohalogen compounds,0.998,Aryl halides,0.704,Aryl chlorides,0.807,,,Aryl chlorides,0.807,"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Organochlorides; Carbonyl compounds; Aryl halides; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",408.935,32,0.533,7.35173E+17,7.35171E+17,4,
1,C3O8Si,[M - H]-,C3-HO8Si-,Fatty acids,0.937,Fatty Acids and Conjugates,0.976,Dicarboxylic acids,0.907,Organic acids and derivatives,0.994,Carboxylic acids and derivatives,0.988,Dicarboxylic acids and derivatives,0.651,,,Dicarboxylic acids and derivatives,0.651,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,190.929,32,0.533,7.35173E+17,7.35171E+17,7,
1,C9H8BrF5N2O10,[M - H]-,C9H7BrF5N2O10-,Carbohydrates,0.971,Nucleosides,0.334,Pyrimidine nucleosides,0.747,"Nucleosides, nucleotides, and analogues",0.214,Pyrimidine nucleosides,0.651,,,,,Pyrimidine nucleosides,0.651,"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Pyrimidine nucleosides; Alkyl fluorides; Organic nitro compounds; Organic oxoazanium compounds; Organobromides; Organofluorides; Secondary alcohols; Oxolanes; Halohydrins; Alkyl halides; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities",476.923,32,0.533,7.35173E+17,7.35171E+17,9,
1,C6H2N4O5S3,[M - H]-,C6HN4O5S3-,Amino acids and Peptides,0.505,Histidine alkaloids,0.048,Imidazole alkaloids,0.048,Organoheterocyclic compounds,0.998,Azoles,0.773,,,,,Azoles,0.773,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Sulfones; Sulfonyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,304.91,32,0.533,7.35173E+17,7.35171E+17,11,
1,C4H2F3N3O4S3,[M - H]-,C4HF3N3O4S3-,Alkaloids,0.134,Histidine alkaloids,0.225,Imidazole alkaloids,0.225,Organoheterocyclic compounds,0.995,Azoles,0.976,Thiadiazoles,0.819,,,Thiadiazoles,0.819,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiadiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl fluorides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,307.908,32,0.533,7.35173E+17,7.35171E+17,13,
1,C6H11BrNO4PSSi,[M - H]-,C6H10BrNO4PSSi-,Amino acids and Peptides,0.719,Small peptides,0.919,Aminoacids,0.901,Organic acids and derivatives,0.986,Carboxylic acids and derivatives,0.922,"Amino acids, peptides, and analogues",0.622,Amino acids and derivatives,0.621,Alpha amino acids and derivatives,0.756,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alkyl bromides; Monocarboxylic acids and derivatives; Carboxylic acids; Organobromides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",329.903,32,0.537,7.35173E+17,7.35171E+17,15,
1,C2N4O5,[M - H]-,C2-HN4O5-,Alkaloids,0.895,Histidine alkaloids,0.71,Imidazole alkaloids,0.708,Organoheterocyclic compounds,0.884,Heteroaromatic compounds,0.62,,,,,Heteroaromatic compounds,0.62,"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Organic salts; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",158.979,32,0.533,7.35173E+17,7.35171E+17,19,
1,C2H5N4O5PS,[M - H]-,C2H4N4O5PS-,Alkaloids,0.882,Histidine alkaloids,0.214,Imidazole alkaloids,0.214,Organic nitrogen compounds,0.997,Organonitrogen compounds,0.929,,,,,Organonitrogen compounds,0.929,Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,226.967,32,0.532,7.35173E+17,7.35171E+17,25,
1,C5H5N4O7PS,[M - H]-,C5H4N4O7PS-,Alkaloids,0.483,Histidine alkaloids,0.521,Imidazole alkaloids,0.519,Organoheterocyclic compounds,0.852,Azacyclic compounds,0.836,,,,,Azacyclic compounds,0.836,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,294.954,32,0.541,7.35173E+17,7.35171E+17,28,
