formulaRank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScoreNormalized,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks(ppm),medianAbsoluteMassErrorFragmentPeaks(ppm),massErrorPrecursor(ppm),lipidClass,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
1,C2H5N4O5PS,[M - H]-,C2H4N4O5PS-,,0.999,18.573,18.573,0,6,1,-5.286,5.286,8.898,,226.967,32,0.532,7.35173E+17,7.35171E+17,25,
1,C2H2N4O11S,[M - H]-,C2HN4O11S-,,0.873,52.251,52.251,0,11,0.99,-2.347,3.311,3.11,,288.938,32,0.532,7.35173E+17,7.35171E+17,151,
1,C2H2N4O12,[M - H]-,C2HN4O12-,,0.743,18.085,18.085,0,6,0.992,-3.314,3.314,1.41,,272.96,32,0.533,7.35173E+17,7.35171E+17,3,
1,C8H9Cl3N4O9,[M - H]-,C8H8Cl3N4O9-,,0.485,21.741,21.741,0,9,1,-1.846,1.846,-3.141,,408.935,32,0.533,7.35173E+17,7.35171E+17,4,
1,C3O8Si,[M - H]-,C3-HO8Si-,,0.627,25.943,25.943,0,4,0.852,-2.491,2.816,-0.037,,190.929,32,0.533,7.35173E+17,7.35171E+17,7,
1,C9H8BrF5N2O10,[M - H]-,C9H7BrF5N2O10-,,0.367,20.523,20.523,0,7,0.912,3.552,4.291,3.897,,476.923,32,0.533,7.35173E+17,7.35171E+17,9,
1,C6H2N4O5S3,[M - H]-,C6HN4O5S3-,,0.627,39.526,36.228,3.297,8,0.902,-2.88,2.88,-5.889,,304.91,32,0.533,7.35173E+17,7.35171E+17,11,
1,C4H2F3N3O4S3,[M - H]-,C4HF3N3O4S3-,,0.876,42.566,37.172,5.394,14,0.872,2.933,3.199,-0.639,,307.908,32,0.533,7.35173E+17,7.35171E+17,13,
1,C2N4O5,[M - H]-,C2-HN4O5-,,0.996,28.209,28.209,0,5,0.996,-5.162,5.162,-3.099,,158.979,32,0.533,7.35173E+17,7.35171E+17,19,
1,C5H5N6O11PS,[M - H]-,C5H4N6O11PS-,,0.138,14.826,14.826,0,4,0.876,-1.501,3.308,0.682,,386.94,32,0.533,7.35173E+17,7.35171E+17,592,
1,C2H2N2O8,[M - H]-,C2HN2O8-,,1,24.056,22.115,1.94,2,0.726,-0.042,0.84,0.008,,180.974,32,0.533,7.35173E+17,7.35171E+17,628,
1,C4H4Cl2N4O6S,[M - H]-,C4H3Cl2N4O6S-,,0.69,38.317,36.571,1.746,8,0.934,-2.726,2.726,-1.39,,304.915,32,0.536,7.35173E+17,7.35171E+17,1376,
1,C6H11BrNO4PSSi,[M - H]-,C6H10BrNO4PSSi-,,0.5,39.035,39.035,0,10,0.885,6.867,6.867,1.189,,329.903,32,0.537,7.35173E+17,7.35171E+17,15,
1,C11H8Cl2NO5PS2,[M - H]-,C11H7Cl2NO5PS2-,,0.621,17.941,17.941,0,4,0.823,4.284,4.284,4.549,,397.89,32,0.537,7.35173E+17,7.35171E+17,110,
1,C17H15Cl3N4O10S3,[M - H]-,C17H14Cl3N4O10S3-,,0.532,19.132,19.132,0,10,0.806,-1.148,1.148,-2.571,,634.893,32,0.537,7.35173E+17,7.35171E+17,150,
1,C26H19Br3N4O5,[M - H]-,C26H18Br3N4O5-,,0.377,10.574,10.574,0,3,0.498,-5.969,5.969,-4.225,,702.88,32,0.537,7.35173E+17,7.35171E+17,190,
1,C5H5N4O6PS2,[M - H]-,C5H4N4O6PS2-,,0.214,20.545,20.545,0,4,0.862,0.462,0.462,1.717,,310.932,32,0.537,7.35173E+17,7.35171E+17,837,
1,C29H16Br2Cl2N4O7,[M - H]-,C29H15Br2Cl2N4O7-,,0.96,6.793,6.793,0,7,0.887,0.699,3.975,0.445,,758.869,32,0.541,7.35173E+17,7.35171E+17,867,
1,C5H5N4O7PS,[M - H]-,C5H4N4O7PS-,,0.367,22.309,20.724,1.585,6,0.984,-5.061,5.061,0.035,,294.954,32,0.541,7.35173E+17,7.35171E+17,28,
1,C6H4N8O5S3,[M - H]-,C6H3N8O5S3-,,0.306,12.674,7.538,5.136,3,0.897,-3.436,3.436,5.891,,362.942,32,0.541,7.35173E+17,7.35171E+17,46,
1,C12H19AsN2O11P2S2,[M - H]-,C12H18AsN2O11P2S2-,,1,13.872,9.118,4.754,4,0.591,-3.009,3.009,-0.123,,566.905,32,0.541,7.35173E+17,7.35171E+17,122,
1,C6H6O14P2S,[M - H]-,C6H5O14P2S-,,0.497,23.945,20.825,3.119,4,0.944,-1.313,1.91,8.426,,394.891,32,0.541,7.35173E+17,7.35171E+17,523,
1,C9H15IN2O9P2S,[M - H]-,C9H14IN2O9P2S-,,0.389,9.876,6.689,3.187,2,0.793,0.783,0.783,0.785,,514.895,32,0.541,7.35173E+17,7.35171E+17,1030,
1,C7H13Cl5N2O5,[M - H]-,C7H12Cl5N2O5-,,0.579,17.535,14.818,2.717,3,0.943,-0.946,1.68,-0.194,,378.919,32,0.541,7.35173E+17,7.35171E+17,1034,
1,C4H6O8P2,[M - H]-,C4H5O8P2-,,0.904,26.312,26.312,0,4,0.96,2.583,2.583,-8.619,,242.944,32,0.541,7.35173E+17,7.35171E+17,1057,
1,C3H6Cl2O4,[M - H]-,C3H5Cl2O4-,,0.637,16.144,13.885,2.259,1,0.848,-1.984,1.984,-1.472,,174.957,32,0.541,7.35173E+17,7.35171E+17,1173,
1,C16H19Cl7O8,[M - H]-,C16H18Cl7O8-,,0.457,8.866,8.465,0.401,2,0.689,-1.459,1.459,-0.094,,582.883,33,0.554,7.35173E+17,7.35171E+17,886,
1,C11H8Cl4N4O7,[M - H]-,C11H7Cl4N4O7-,,0.581,6.334,6.334,0,2,0.872,-1.458,1.458,-0.141,,446.907,33,0.554,7.35173E+17,7.35171E+17,1023,
1,C19H31Br2Cl5O6S,[M - H]-,C19H30Br2Cl5O6S-,,0.544,5.61,5.61,0,3,0.62,-1.289,1.289,0.437,,718.858,33,0.554,7.35173E+17,7.35171E+17,1039,
1,C25H16Br2Cl2N2O5,[M - H]-,C25H15Br2Cl2N2O5-,,0.891,6.013,6.013,0,2,0.611,-1.284,1.284,-4.386,,650.87,33,0.554,7.35173E+17,7.35171E+17,1012,
1,C3H2N4O14,[M - H]-,C3HN4O14-,,0.4,7.175,2.638,4.538,1,0.964,-4.756,4.756,-0.865,,316.949,34,0.562,7.35173E+17,7.35171E+17,776,
1,C18H10F7IN2O5S2,[M - H]-,C18H9F7IN2O5S2-,,0.789,3.342,3.342,0,4,0.993,-3.535,3.555,-2.059,,656.888,34,0.562,7.35173E+17,7.35171E+17,833,
1,C10H9IO5,[M - H]-,C10H8IO5-,,0.825,35.028,34.959,0.069,5,0.976,2.74,3.052,-4.463,,334.941,34,0.57,7.35173E+17,7.35171E+17,1356,
1,C11H5ClO4S,[M - H]-,C11H4ClO4S-,,0.243,63.836,63.836,0,9,0.828,1.912,1.912,2.132,,266.953,34,0.57,7.35173E+17,7.35171E+17,1371,
1,C3HF3N2O8,[M - H]-,C3F3N2O8-,,0.935,11.33,7.045,4.285,1,1,4.864,4.864,1.072,,248.961,34,0.57,7.35173E+17,7.35171E+17,787,
