row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,230809_B0.mzML Peak area,230823_B0.mzML Peak area,230809_B6.mzML Peak area,230809_B3.mzML Peak area,230809_B2.mzML Peak area,230809_B4.mzML Peak area,230809_B5.mzML Peak area,230823_B4.mzML Peak area,230905_B0.mzML Peak area,230905_B1.mzML Peak area,230823_B1.mzML Peak area,230823_B6.mzML Peak area,230905_B3.mzML Peak area,230905_B2.mzML Peak area,230823_B2.mzML Peak area,230905_B6.mzML Peak area,230926_B2.mzML Peak area,230926_B4.mzML Peak area,230905_B5.mzML Peak area,230926_B0.mzML Peak area,231010_B0.mzML Peak area,230905_B4.mzML Peak area,240507_B0.mzML Peak area,230823_B3.mzML Peak area,230809_B1.mzML Peak area,230926_B5.mzML Peak area,231010_B1.mzML Peak area,230926_B1.mzML Peak area,230823_B5.mzML Peak area,231010_B2.mzML Peak area,230926_B6.mzML Peak area,231010_B3.mzML Peak area,231010_B5.mzML Peak area,Blank_restart_1.mzML Peak area,240901_B1.mzML Peak area,231010_B6.mzML Peak area,240417_B2.mzML Peak area,Blank1.mzML Peak area,Blank2.mzML Peak area,240417_B0.mzML Peak area,Blank4_before_neg.mzML Peak area,Blank3.mzML Peak area,230926_B3.mzML Peak area,240417_B5.mzML Peak area,240507_B3.mzML Peak area,240417_B4.mzML Peak area,Culture_Remin_E.mzML Peak area,231010_B4.mzML Peak area,240616_B1.mzML Peak area,Culture_Remin_F.mzML Peak area,240417_B6.mzML Peak area,240507_B1.mzML Peak area,240417_B3.mzML Peak area,QC_mix2.mzML Peak area,Culture_Remin_D.mzML Peak area,Process_Blank_1.mzML Peak area,QC_mix_restart_1.mzML Peak area,Process_Blank_3.mzML Peak area,QC_mix3.mzML Peak area,QC_mix_1.mzML Peak area,QC_mix5.mzML Peak area,QC_mix4.mzML Peak area,Process_Blank_2.mzML Peak area,240616_B5.mzML Peak area,240616_B3.mzML Peak area,240616_B0.mzML Peak area,240507_B5.mzML Peak area,240417_B1.mzML Peak area,240616_B2.mzML Peak area,240616_B6.mzML Peak area,Chance_pooled_QC_2.mzML Peak area,Chance_pooled_QC_1.mzML Peak area,Chance_pooled_QC_4.mzML Peak area,Chance_pooled_QC_restart_1.mzML Peak area,240616_B4.mzML Peak area,Chance_pooled_QC_3.mzML Peak area
5,255.9378873,0.5334325,,,,,,,,,,,0,3023.288,2883.0798,6105.8486,2541.7559,3672.0303,3506.6182,56691.07,12667.777,0,11525.311,2239.0886,2311.791,0,3249.646,12592.498,0,0,13366.6045,0,0,0,0,0,4184.0303,2472.9739,0,0,3575.983,0,2486.8357,0,4112.1055,0,0,3561.6858,0,0,0,0,0,0,2612.7925,0,0,0,0,7990.127,0,0,2194.87,0,0,0,0,0,0,0,0,5919.7227,2432.869,0,0,3899.128,2690.1343,3773.4785,0,0,0,3980.755,3215.3064,2691.781,2256.0625,0,0,7010.2607
6,223.9879895,0.53464484,,,,,,,,,,,111964.08,56153.125,131990.69,78986.945,72425.01,140556.42,170199.83,20701.344,313919.56,19015.578,56013.188,15248.369,53620.246,32122.316,42197.965,193090.72,68707.125,13863.417,42800.926,91535.91,13084.793,13319.48,43014.203,22834.512,26965.637,57463.285,3269.298,32023.125,13360.5625,39885.027,27960.646,94274.64,93582.016,5081.2334,0,110056.15,36586.51,14645.898,0,0,0,0,48753.207,14379.576,6855.218,82802.08,12699.183,171729.69,52244.6,11291.351,195381.52,89394.72,125539.555,10558.953,23724.904,0,0,0,2221.472,4436.659,26826.334,3490.7134,0,97474.99,52683.35,72379.37,39153.707,24085.875,42971.426,90956.3,65216.23,43500.406,52822.832,21447.275,56444.316,89291.38
8,241.9984523,0.53322756,,,,,,,,,,,175757.98,86900.31,178009.17,124238.055,105674.625,235195.23,238456.6,32858.863,493379.1,32269.654,84604.99,20987.514,87309.54,45486.086,58339.035,295853.6,84599.875,27844.195,63504.234,121114.69,42760.88,20158.719,61323.133,32295.254,50408.55,92196.17,7048.363,52661.773,21569.03,68163.34,36557.266,125233.55,136476,0,0,140318.95,46748.812,0,0,0,0,0,62658.65,23958.213,10170.243,112454.64,27662.637,245816.06,69982.83,36617.742,269666.62,120941.68,183852.73,0,52251.79,0,0,0,4963.6055,0,43145.547,10479.074,0,137965.6,70123.84,107224.49,51776.29,44548.016,55144.547,129468.78,87428.086,55147.566,72633.33,29961.158,85682.84,122002.984
9,265.0143314,0.53317094,,,,,,,,,,,121867.945,62626.96,143984.61,89782.64,83258.81,192844.25,190469.05,29091.713,376420.75,21002.838,60571.695,15529.156,67722.04,33507.543,42054.926,229806.39,95392.95,13240.557,53620.81,100629.19,17912.89,18286.508,46552.734,23300.025,43683.93,71173.01,6189.2397,40001.625,18870.613,62686.87,27980.578,100387.8,124412.73,0,0,100886.625,37474.7,0,0,0,0,0,41669.527,17162.824,8683.467,86838.32,20813.307,208342.02,58944.496,13575.803,248570.1,102158.81,137339.5,0,26048.193,0,0,0,0,0,34161.445,5307.843,0,111275.66,56144.67,97588,39002.992,26395.855,44396.402,94598.53,63667.05,56945.785,59600.625,31991.53,67001.09,96068.48
14,239.9655016,0.5361261,,,,,,,,,,,241774.89,105059.92,266132.5,226935.92,317999.47,315477.12,142907.88,30623.53,555374,167186.89,164428.69,23177.422,145519.8,120162.92,59176.047,474773.16,288708.88,100196.664,108415.63,132660.9,37235.562,104009.12,70521.61,50808.21,61132.863,79359.63,40020.215,192214.55,26625.201,50390.344,79199.27,135308.03,158286.03,0,0,84517.73,76261.72,0,0,4268.54,0,0,58650.266,54557.445,14373.566,98770.016,55783.066,149732.48,66314.98,29469.084,189707.31,110991.27,123718.234,0,47793.86,0,0,0,8149.583,15078.932,0,6855.871,0,95376.33,33416.34,71513.36,54961.36,38240.285,24166.86,62152.457,100245.53,85631.56,65336.055,45595.16,60187.594,107883.6
15,151.0344892,0.5350196,,,,,,,,,,,199130.38,77581.33,201298.53,156822.17,167912.3,216775.44,218516.69,37029.926,301330.5,100640.02,121028.625,65798.914,86343.836,72245.74,49992.53,251161,173423.31,33781.176,97164.81,110678.5,50504.777,49734.7,85679.484,43274.516,70224.17,88217.57,16586.082,94009.6,42809.867,104320.99,47012.285,157128.5,138588.7,0,0,157775.2,79959.016,0,0,11325.816,0,0,68668.97,47341.55,50851.652,84959.92,13472.935,180904.8,91650.65,12532.586,254969.75,156589.06,191804.84,11245.847,84495.86,0,14089.904,0,19674.285,42897.277,65117.33,25104.11,0,146182.1,77515.945,108261.13,58877.65,40245,43761.555,148045.73,87520.016,110379.86,85523.22,125574.79,93366.98,128750
20,181.0992797,0.5371638,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53775.492,0,0,0,0,0,0,289412.66,0,27793.498,174025.84,0,0,178218.89,83824.19,0,0,54857.64,0,0,0,18058.863,26220.541,121795.266,0,82653.16,0,0,16363.881,40231.41,67018.125,0,0,0,0,0,0,0,0,0,0,0,0,0,42910.414,55504.297,5711.8945,0,6541.879,2959.0352,8887.937,2215.072,0,6929.2295
23,258.9365147,0.53760993,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2354.4658,0,21391.824,26913.775,133230.47,37015.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,299.9630246,0.53964573,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8842.389,0,0,5974.089,0,26060.996,49539.727,158251.66,42415.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,276.9470405,0.5400096,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17275.312,20909.676,84758.78,27374.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
