filename,ATTRIBUTE_sample_type,ATTRIBUTE_LC_vial_name,ATTRIBUTE_source,ATTRIBUTE_sample_date,ATTRIBUTE_season,ATTRIBUTE_treatment,ATTRIBUTE_phys_state,ATTRIBUTE_blade,ATTRIBUTE_age_d,ATTRIBUTE_tissue_CN,ATTRIBUTE_DOC_prePPL_uMC
230809_B0.mzML ,Sample,230809 B0,Ambient,8/9/23,Summer,Control,Mature,0,16,NA,61.4
230809_B1.mzML ,Sample,230809 B1,Kelp,8/9/23,Summer,Exudate,Mature,1,16,31,65
230809_B2.mzML ,Sample,230809 B2,Kelp,8/9/23,Summer,Exudate,Mature,2,16,31.6,63.3
230809_B3.mzML ,Sample,230809 B3,Kelp,8/9/23,Summer,Exudate,Mature,3,16,34.8,63.8
230809_B4.mzML ,Sample,230809 B4,Kelp,8/9/23,Summer,Exudate,Mature,4,16,27.9,72.3
230809_B5.mzML ,Sample,230809 B5,Kelp,8/9/23,Summer,Exudate,Mature,5,16,29.3,71
230809_B6.mzML ,Sample,230809 B6,Kelp,8/9/23,Summer,Exudate,Mature,6,16,25.1,79.6
230823_B0.mzML ,Sample,230823 B0,Ambient,8/23/23,Summer,Control,Mature,0,30,NA,60.3
230823_B1.mzML ,Sample,230823 B1,Kelp,8/23/23,Summer,Exudate,Mature,1,30,29.1,66.8
230823_B2.mzML ,Sample,230823 B2,Kelp,8/23/23,Summer,Exudate,Mature,2,30,28.6,90.4
230823_B3.mzML ,Sample,230823 B3,Kelp,8/23/23,Summer,Exudate,Mature,3,30,32.1,74
230823_B4.mzML ,Sample,230823 B4,Kelp,8/23/23,Summer,Exudate,Mature,4,30,28.1,63.9
230823_B5.mzML ,Sample,230823 B5,Kelp,8/23/23,Summer,Exudate,Mature,5,30,31.6,63.2
230823_B6.mzML ,Sample,230823 B6,Kelp,8/23/23,Summer,Exudate,Mature,6,30,30.2,64.6
230905_B0.mzML ,Sample,230905 B0,Ambient,9/5/23,Summer,Control,Mature,0,43,NA,59.3
230905_B1.mzML ,Sample,230905 B1,Kelp,9/5/23,Summer,Exudate,Mature,1,43,32.6,64.2
230905_B2.mzML ,Sample,230905 B2,Kelp,9/5/23,Summer,Exudate,Mature,2,43,33.8,66
230905_B3.mzML ,Sample,230905 B3,Kelp,9/5/23,Summer,Exudate,Mature,3,43,24.9,65.6
230905_B4.mzML ,Sample,230905 B4,Kelp,9/5/23,Summer,Exudate,Mature,4,43,33.2,66.9
230905_B5.mzML ,Sample,230905 B5,Kelp,9/5/23,Summer,Exudate,Mature,5,43,29.7,62.1
230905_B6.mzML ,Sample,230905 B6,Kelp,9/5/23,Summer,Exudate,Mature,6,43,20.4,72.3
230926_B0.mzML ,Sample,230926 B0,Ambient,9/26/23,Summer,Control,Senescent,0,64,NA,56.1
230926_B1.mzML ,Sample,230926 B1,Kelp,9/26/23,Summer,Exudate,Senescent,1,64,33.7,74.5
230926_B2.mzML ,Sample,230926 B2,Kelp,9/26/23,Summer,Exudate,Senescent,2,64,34.8,71.2
230926_B3.mzML ,Sample,230926 B3,Kelp,9/26/23,Summer,Exudate,Senescent,3,64,39.8,148.4
230926_B4.mzML ,Sample,230926 B4,Kelp,9/26/23,Summer,Exudate,Senescent,4,64,35.9,132.3
230926_B5.mzML ,Sample,230926 B5,Kelp,9/26/23,Summer,Exudate,Senescent,5,64,33,64.5
