formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
1,C2H3NO10S,[M + Na]+,C2H3NNaO10S+,Fatty acids,0.313,Fatty Acids and Conjugates,0.377,Dicarboxylic acids,0.116,Organic acids and derivatives,1,Organic sulfonic acids and derivatives,0.94,Organosulfonic acids and derivatives,0.937,Acylsulfonic acids and derivatives,0.805,Acylsulfonic acids,0.867,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Sulfonyls; Organosulfonic acids; Carboxylic acids; Carbonyl compounds; Acylsulfonic acids and derivatives; Acylsulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,255.938,32,0.532,7.34233E+17,7.3423E+17,5,
1,C5H5NO7S,[M + H]+,C5H6NO7S+,Amino acids and Peptides,0.471,β-lactams,0.148,Aminoacids,0.07,"Organic 1,3-dipolar compounds",0.455,"Allyl-type 1,3-dipolar organic compounds",0.495,Organic nitro compounds,0.523,,,Organic nitro compounds,0.523,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,223.988,32,0.532,7.34233E+17,7.3423E+17,6,
1,C6H7O9PS2,[M + H]+,C6H8O9PS2+,Fatty acids,0.313,Fatty Acids and Conjugates,0.3,Simple phenolic acids,0.265,Organic oxygen compounds,1,Organooxygen compounds,0.978,,,,,Organooxygen compounds,0.978,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,318.935,32,0.532,7.34233E+17,7.3423E+17,38,
1,C4H6O3Se,[M + K]+,C4H6KO3Se+,Fatty acids,0.255,Cyclic polyketides,0.48,2-pyrone derivatives,0.404,Organoheterocyclic compounds,0.84,Lactones,0.712,,,,,Lactones,0.712,Organic compounds; Organoheterocyclic compounds; Lactones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organometallic compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Organometalloid compounds; Carbonyl compounds; Selenoethers; Organoselenium compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,214.916,32,0.532,7.34233E+17,7.3423E+17,1261,
1,C8H7ClFNO3,[M + Na]+,C8H7ClFNNaO3+,Alkaloids,0.683,Anthranilic acid alkaloids,0.265,Pyridine alkaloids,0.081,Benzenoids,0.925,Phenol ethers,0.579,,,,,Phenol ethers,0.579,Organic compounds; Halobenzenes; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Aryl fluorides; Chlorobenzenes; Fluorobenzenes; Monocarboxylic acids and derivatives; Organochlorides; Organofluorides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities,241.999,32,0.537,7.34233E+17,7.3423E+17,8,
1,C7H8N2O7S,[M + H]+,C7H9N2O7S+,Amino acids and Peptides,0.903,Small peptides,0.665,Aminoacids,0.391,"Organic 1,3-dipolar compounds",0.604,"Allyl-type 1,3-dipolar organic compounds",0.619,Organic nitro compounds,0.695,C-nitro compounds,0.653,C-nitro compounds,0.653,"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",265.015,32,0.537,7.34233E+17,7.3423E+17,9,
1,C6H7N3OS2,[M + K]+,C6H7KN3OS2+,Alkaloids,0.345,Histidine alkaloids,0.264,Imidazole alkaloids,0.268,Organosulfur compounds,0.957,Thioethers,0.661,Aryl thioethers,0.664,Alkylarylthioethers,0.658,Alkylarylthioethers,0.658,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiadiazoles; Organonitrogen compounds; Organooxygen compounds; Azoles; Thioethers; Sulfenyl compounds; Alkylarylthioethers; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities,239.966,32,0.537,7.34233E+17,7.3423E+17,14,
1,CH7FN3O3,[M + Na]+,CH7FN3NaO3+,Fatty acids,0.11,Small peptides,0.166,Halogenated fatty acids,0.499,"Organic 1,3-dipolar compounds",0.341,"Allyl-type 1,3-dipolar organic compounds",0.426,Organic nitro compounds,0.529,C-nitro compounds,0.195,Fluorodinitromethyl compounds,0.883,Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Alkyl fluorides; Organic nitro compounds; Organofluorides; Alkyl halides; Organic salts; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Fluorodinitromethyl compounds; Organic nitrogen compounds; Chemical entities,151.035,32,0.537,7.34233E+17,7.3423E+17,15,
1,C5H16N2O3Si,[M + H]+,C5H17N2O3Si+,Amino acids and Peptides,0.542,Small peptides,0.576,Aminoacids,0.764,Organic nitrogen compounds,0.997,Organonitrogen compounds,0.996,Amines,0.994,Alkanolamines,0.873,"1,2-aminoalcohols",0.813,"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; 1,2-aminoalcohols; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",181.099,32,0.537,7.34233E+17,7.3423E+17,20,
1,C3H8O7S2,[M + K]+,C3H8KO7S2+,Fatty acids,0.961,Fatty Acids and Conjugates,0.616,Thia fatty acids,0.112,Organic acids and derivatives,0.998,Organic sulfonic acids and derivatives,0.826,Organosulfonic acids and derivatives,0.826,Alkanesulfonic acids and derivatives,0.762,Alkanesulfonic acids,0.682,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Sulfonyls; Organosulfonic acids; Carboxylic acids; Carbonyl compounds; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities,258.936,32,0.537,7.34233E+17,7.3423E+17,23,
