year,quarter,total_biomass_kg_ww,total_area_km2
1984,1,857633,0.114759
1984,2,103583997,13.636786
1984,3,109270887,14.109011
1984,4,61817721,8.239723
1985,1,82669537,11.24749
1985,2,266052523,33.466867
1985,3,234637291,27.49472
1985,4,86782164,11.210185
1986,1,23762819,3.115786
1986,2,39004736,5.221714
1986,3,163839576,21.179104
1986,4,102903133,13.941001
1987,1,27333737,3.627608
1987,2,109549912,14.957793
1987,3,255524660,33.861783
1987,4,94757625,12.858252
1988,1,5659915,0.730675
1988,2,44979864,5.921177
1988,3,202482965,25.931462
1988,4,88437387,11.864363
1989,1,103681483,13.891807
1989,2,170111738,22.884047
1989,3,175416091,22.551839
1989,4,92129130,12.450624
1990,1,41740676,5.593137
1990,2,280102547,37.231729
1990,3,344186089,43.579549
1990,4,138787753,18.525954
1991,1,4219623,0.552439
1991,2,248822927,32.876767
1991,3,226359123,30.293095
1991,4,34484124,4.511118
1992,1,7458531,1.006078
1992,2,115326771,15.660901
1992,3,202190521,26.547054
1992,4,52382812,7.060087
1993,1,15738615,2.080253
1993,2,88456086,11.915749
1993,3,126165042,16.604575
1993,4,37910324,5.037643
1994,1,9607390,1.232082
1994,2,212313650,28.713213
1994,3,265847986,34.452865
1994,4,65135772,8.660298
1995,1,21082518,2.722782
1995,2,27114866,3.623661
1995,3,99496112,12.422056
1995,4,50509624,6.563643
1996,1,7249057,0.939947
1996,2,38276332,5.137594
1996,3,63580412,8.149993
1996,4,55476931,7.199232
1997,1,29342114,3.851181
1997,2,98350759,13.184384
1997,3,127848116,16.418265
1997,4,9737398,1.283195
1998,1,1072037,0.133753
1998,2,9628649,1.28502
1998,3,34641898,4.596924
1998,4,23161321,3.091197
1999,1,53533290,7.300777
1999,2,123958865,16.791876
1999,3,197141562,25.447952
1999,4,57521811,7.681396
2000,1,14816250,1.93203
2000,2,24163466,3.244435
2000,3,124541910,16.218089
2000,4,79133698,10.558966
2001,1,39104013,5.254297
2001,2,117464739,15.90728
2001,3,183856828,23.814167
2001,4,73055031,9.792179
2002,1,52717730,7.034013
2002,2,156459658,21.249787
2002,3,238631579,31.72696
2002,4,102023852,13.733965
2003,1,16464119,2.151759
2003,2,81295948,11.070179
2003,3,322214068,42.054445
2003,4,139862297,18.813634
2004,1,59660007,7.844958
2004,2,163798976,22.030451
2004,3,363666813,47.482076
2004,4,80463734,10.660492
2005,1,45241176,5.910396
2005,2,150285340,20.290947
2005,3,381672980,50.029291
2005,4,172411318,22.684256
2006,1,35443031,4.684154
2006,2,90915119,12.336424
2006,3,128272653,16.882914
2006,4,55480995,7.429183
2007,1,71752220,9.697449
2007,2,180756425,24.905756
2007,3,219761444,28.381444
2007,4,101791728,13.456161
2008,1,29243720,3.865226
2008,2,79488866,10.65884
2008,3,276961564,35.460002
2008,4,137288687,18.511173
2009,1,113280778,15.052582
2009,2,162834781,21.838344
2009,3,206390479,27.207884
2009,4,45170414,5.895431
2010,1,26319415,3.48324
2010,2,72993126,9.877041
2010,3,277865179,37.044731
2010,4,90954718,11.962514
2011,1,12829789,1.611335
2011,2,41854753,5.626856
2011,3,137271840,18.446558
2011,4,74899822,10.00064
2012,1,27431196,3.617586
2012,2,59322184,8.016596
2012,3,121693963,15.901103
2012,4,37789416,5.00048
2013,1,57904201,7.638153
2013,2,227796024,30.237506
2013,3,260300875,32.752846
2013,4,101376063,13.574625
2014,1,28002905,3.720761
2014,2,63628630,8.576626
2014,3,105826858,13.987194
2014,4,14811475,1.935566
2015,1,9502805,1.242016
2015,2,107682301,14.361286
2015,3,188139720,24.420599
2015,4,13466393,1.795603
2016,1,13484499,1.793235
2016,2,80948650,10.889775
2016,3,166962743,21.849863
2016,4,53601024,7.121419
2017,1,18487739,2.449595
2017,2,49026184,6.600329
2017,3,125669172,16.596634
2017,4,41867162,5.593699
2018,1,27054702,3.588696
2018,2,176693349,23.713884
2018,3,200454471,25.897807
2018,4,23883375,3.193894
2019,1,6245035,0.813504
2019,2,37634424,5.043755
2019,3,89215265,11.815655
2019,4,37536764,4.971765
2020,1,32424140,4.343411
2020,2,92906091,12.543276
2020,3,129718006,17.321047
2020,4,29328130,3.915286
2021,1,35795065,4.878437
2021,2,112731089,15.284312
2021,3,111672626,14.42594
2021,4,39419892,5.232922
